scenario,n_rows,n_eval_rows,first_eval_ym,last_eval_ym,pressure_lead_corr,pressure_roll_lead_corr,high_pressure_hit_rate,high_pressure_roll_hit_rate,mean_pressure_index,pressure_signal_score,classification_score,pressure_overall_score
roc_prev_best,45,45,202503,202511,0.33771984527012744,0.35453684353663656,0.9375,0.9375,0.2932522045855379,0.692256688806764,1.875,2.567256688806764
roc_bridge_1,45,45,202503,202511,0.3361584607664608,0.3534290237266808,0.9375,0.9375,0.2924702380952381,0.6895874844931416,1.875,2.5645874844931416
roc_bridge_2,45,45,202503,202511,0.3351209661145608,0.35283078919322375,0.9375,0.9375,0.291560405643739,0.6879517553077845,1.875,2.5629517553077843
roc_bridge_3,45,45,202503,202511,0.3333873430500115,0.35154148019358766,0.9375,0.9375,0.29077843915343915,0.6849288232435992,1.875,2.5599288232435993
roc_up_3,45,45,202503,202511,0.33218573719308286,0.350769094714691,0.9375,0.9375,0.28986860670194003,0.6829548319077738,1.875,2.557954831907774
roc_up_2,45,45,202503,202511,0.32340000336372937,0.34162812844974627,0.9375,0.9375,0.29305740740740743,0.6650281318134756,1.875,2.5400281318134756
roc_up_1,45,45,202503,202511,0.31430964642022324,0.33216764748652844,0.9375,0.9375,0.2962462081128748,0.6464772939067517,1.875,2.521477293906752
roc_down_1,45,45,202503,202511,0.30849407874302864,0.32539404549607304,0.9375,0.9375,0.30006649029982363,0.6338881242391017,1.875,2.5088881242391015
custom_nearby_e,45,45,202503,202511,0.30795606835317463,0.3215615212508043,0.9375,0.9375,0.30769135802469133,0.6295175896039789,1.875,2.504517589603979
roc_down_2,45,45,202503,202511,0.3042567769139838,0.320858688169439,0.9375,0.9375,0.30176613756613757,0.62511546508342275,1.875,2.5001154650834225
custom_nearby_a,45,45,202503,202511,0.30307846648842746,0.31768464856997486,0.9375,0.9375,0.3066388888888889,0.6207631150584023,1.875,2.495763115058402
roc,45,45,202503,202511,0.2994859557262811,0.31704814344572163,0.9375,0.9375,0.3004368871252205,0.6165340991720027,1.875,2.4915340991720027
roc_down_3,45,45,202503,202511,0.2999390107090347,0.3162380574861116,0.9375,0.9375,0.3034657848324515,0.6161770681951464,1.875,2.4911770681951464
custom,45,45,202503,202511,0.274549407589398,0.2885321399595562,0.9375,0.9375,0.3140846560846561,0.5630815475489541,1.875,2.438081547548954
custom_nearby_c,45,45,202503,202511,0.26909175654538775,0.2840813036032987,0.9375,0.9375,0.3130321869488536,0.5531730601486864,1.875,2.428173060148686
custom_nearby_b,45,45,202503,202511,0.2443567297938317,0.2576542503293863,0.9333333333333333,0.9333333333333333,0.3215304232804233,0.502010980123218,1.8666666666666667,2.3686776467898847
custom_nearby_d,45,45,202503,202511,0.2387362044147578,0.2530520453206868,0.9333333333333333,0.9333333333333333,0.3204779541446208,0.4917882497354446,1.8666666666666667,2.358454916402111
