ym,analysis_universe,matching_scenario,simulation_scenario,move_share,move_amount,source_port,target_port,distance_class,distance_factor,matching_score,rank_global,rank_within_source,source_status_before,source_pressure_index_before,source_buffer_index_before,source_empty_net_before,source_roll3_empty_net_before,source_pressure_index_after,source_buffer_index_after,source_empty_in_after,source_empty_out_after,source_empty_net_after,source_roll3_empty_net_after,source_status_after,target_status_before,target_pressure_index_before,target_buffer_index_before,target_empty_net_before,target_roll3_empty_net_before,target_pressure_index_after,target_buffer_index_after,target_empty_in_after,target_empty_out_after,target_empty_net_after,target_roll3_empty_net_after,target_status_after,projected_high_pressure_cut,projected_high_buffer_cut,projected_low_pressure_cut,source_pressure_delta,target_pressure_delta,source_relieved,target_stays_safe,target_stays_non_high_pressure,pair_success,max_safe_move_share,max_success_move_share,is_max_safe_share,is_max_success_share
202503,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,臺北港,2,0.85,0.705,1,1,高壓力港,0.7999999999999999,0.3,4011,2193.6666666666665,0.7999999999999999,0.3,10585,6574,4011,2193.6666666666665,高壓力港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,0.11,0.5,3757,6981,-3224,-801.6666666666666,高緩衝港,0.575,0.35,0.36,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202503,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1002.75,臺中港,臺北港,2,0.85,0.705,1,1,高壓力港,0.7999999999999999,0.3,4011,2193.6666666666665,0.7999999999999999,0.3,10585,7576.75,3008.25,1859.4166666666665,高壓力港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,0.11,0.5,4759.75,6981,-2221.25,-467.41666666666663,高緩衝港,0.575,0.35,0.36,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202503,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2005.5,臺中港,臺北港,2,0.85,0.705,1,1,高壓力港,0.7999999999999999,0.3,4011,2193.6666666666665,0.41,0.3,10585,8579.5,2005.5,1525.1666666666665,正常港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,0.11,0.5,5762.5,6981,-1218.5,-133.16666666666663,高緩衝港,0.4325,0.35,0.315,-0.38999999999999996,0,TRUE,TRUE,TRUE,TRUE,0.75,0.75,FALSE,FALSE
202503,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,3008.25,臺中港,臺北港,2,0.85,0.705,1,1,高壓力港,0.7999999999999999,0.3,4011,2193.6666666666665,0.41,0.3,10585,9582.25,1002.75,1190.9166666666665,正常港,高緩衝港,0.11,0.5,-3224,-801.6666666666666,0.2,0.3,6765.25,6981,-215.75,201.08333333333337,高緩衝港,0.4325,0.3,0.315,-0.38999999999999996,0.09000000000000001,TRUE,TRUE,TRUE,TRUE,0.75,0.75,TRUE,TRUE
202504,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,基隆港,2,0.85,0.76,1,1,高壓力港,1,0.1,5963,3420.3333333333335,1,0.09999999999999999,14514,8551,5963,3420.3333333333335,高壓力港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,0.07333333333333333,0.39999999999999997,1860,29504,-27644,-25496.666666666668,高緩衝港,0.8500000000000001,0.36249999999999993,0.6266666666666667,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202504,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1490.75,臺中港,基隆港,2,0.85,0.76,1,1,高壓力港,1,0.1,5963,3420.3333333333335,1,0.09999999999999999,14514,10041.75,4472.25,2923.416666666667,高壓力港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,0.22,0.09999999999999999,3350.75,29504,-26153.25,-24999.75,正常港,0.8500000000000001,0.16249999999999998,0.6266666666666667,0,0.14666666666666667,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202504,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2981.5,臺中港,基隆港,2,0.85,0.76,1,1,高壓力港,1,0.1,5963,3420.3333333333335,0.8,0.09999999999999999,14514,11532.5,2981.5,2426.5,高壓力港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,0.22,0.09999999999999999,4841.5,29504,-24662.5,-24502.833333333336,正常港,0.8,0.16249999999999998,0.6266666666666667,-0.19999999999999996,0.14666666666666667,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202504,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,4472.25,臺中港,基隆港,2,0.85,0.76,1,1,高壓力港,1,0.1,5963,3420.3333333333335,0.48,0.09999999999999999,14514,13023.25,1490.75,1929.5833333333335,正常港,高緩衝港,0.07333333333333333,0.4,-27644,-25496.666666666668,0.22,0.09999999999999999,6332.25,29504,-23171.75,-24005.916666666668,正常港,0.56,0.16249999999999998,0.4666666666666667,-0.52,0.14666666666666667,TRUE,TRUE,TRUE,TRUE,0.75,0.75,TRUE,TRUE
202505,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,臺北港,2,0.85,0.70125,1,1,高壓力港,0.8499999999999999,0.075,5496,5156.666666666667,0.8499999999999999,0.075,15646,10150,5496,5156.666666666667,高壓力港,高緩衝港,0.11,0.425,-2013,-184.33333333333343,0.11,0.42500000000000004,6801,8814,-2013,-184.33333333333343,高緩衝港,0.6924999999999999,0.41562499999999997,0.43,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202505,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1374,臺中港,臺北港,2,0.85,0.70125,1,1,高壓力港,0.8499999999999999,0.075,5496,5156.666666666667,0.8499999999999999,0.075,15646,11524,4122,4698.666666666667,高壓力港,高緩衝港,0.11,0.425,-2013,-184.33333333333343,0.2,0.225,8175,8814,-639,273.6666666666666,正常港,0.6924999999999999,0.271875,0.43,0,0.09000000000000001,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202505,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2748,臺中港,臺北港,2,0.85,0.70125,1,1,高壓力港,0.8499999999999999,0.075,5496,5156.666666666667,0.7,0.075,15646,12898,2748,4240.666666666667,高壓力港,高緩衝港,0.11,0.425,-2013,-184.33333333333343,0.5449999999999999,0.225,9549,8814,735,731.6666666666665,正常港,0.655,0.271875,0.5925,-0.1499999999999999,0.43499999999999994,FALSE,TRUE,TRUE,FALSE,0.75,0.75,FALSE,FALSE
202505,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,4122,臺中港,臺北港,2,0.85,0.70125,1,1,高壓力港,0.8499999999999999,0.075,5496,5156.666666666667,0.55,0.075,15646,14272,1374,3782.666666666667,正常港,高緩衝港,0.11,0.425,-2013,-184.33333333333343,0.6,0.1125,10923,8814,2109,1189.6666666666665,正常港,0.61,0.20625,0.575,-0.2999999999999998,0.49,TRUE,TRUE,TRUE,TRUE,0.75,0.75,TRUE,TRUE
202506,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,高雄港,3,0.7,0.6011,1,1,高壓力港,0.628,0.36,4450,5303,0.628,0.36,11980,7530,4450,5303,高壓力港,高緩衝港,0.08,0.51,10872,19578.666666666668,0.08,0.51,66615,55743,10872,19578.666666666668,高緩衝港,0.256,0.51,0.11000000000000001,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,TRUE
202506,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1112.5,臺中港,高雄港,3,0.7,0.6011,1,1,高壓力港,0.628,0.36,4450,5303,0.472,0.36,11980,8642.5,3337.5,4932.166666666667,高壓力港,高緩衝港,0.08,0.51,10872,19578.666666666668,0.08,0.51,67727.5,55743,11984.5,19949.5,高緩衝港,0.217,0.51,0.11000000000000001,-0.15600000000000003,0,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202506,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2225,臺中港,高雄港,3,0.7,0.6011,1,1,高壓力港,0.628,0.36,4450,5303,0.352,0.36,11980,9755,2225,4561.333333333333,高壓力港,高緩衝港,0.08,0.51,10872,19578.666666666668,0.124,0.42000000000000004,68840,55743,13097,20320.333333333336,正常港,0.187,0.49500000000000005,0.128,-0.276,0.044,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202506,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,3337.5,臺中港,高雄港,3,0.7,0.6011,1,1,高壓力港,0.628,0.36,4450,5303,0.352,0.36,11980,10867.5,1112.5,4190.5,高壓力港,高緩衝港,0.08,0.51,10872,19578.666666666668,0.24400000000000002,0.42000000000000004,69952.5,55743,14209.5,20691.166666666668,正常港,0.271,0.49500000000000005,0.188,-0.276,0.16400000000000003,FALSE,TRUE,TRUE,FALSE,0.75,0,TRUE,FALSE
202507,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,基隆港,2,0.85,0.8553333333333332,1,1,高壓力港,0.9266666666666664,0.225,6869,5605,0.9266666666666665,0.22499999999999998,13488,6619,6869,5605,高壓力港,高緩衝港,0,0.7666666666666667,-28870,-29589,0,0.7666666666666667,1380,30250,-28870,-29589,高緩衝港,0.48666666666666664,0.6854166666666667,0.20666666666666667,1.1102230246251565e-16,0,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,TRUE
202507,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1717.25,臺中港,基隆港,2,0.85,0.8553333333333332,1,1,高壓力港,0.9266666666666664,0.225,6869,5605,0.8266666666666667,0.22499999999999998,13488,8336.25,5151.75,5032.583333333333,高壓力港,高緩衝港,0,0.7666666666666667,-28870,-29589,0.22,0.31666666666666665,3097.25,30250,-27152.75,-29016.583333333332,正常港,0.46166666666666667,0.42708333333333326,0.27999999999999997,-0.09999999999999976,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202507,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,3434.5,臺中港,基隆港,2,0.85,0.8553333333333332,1,1,高壓力港,0.9266666666666664,0.225,6869,5605,0.4666666666666667,0.22499999999999998,13488,10053.5,3434.5,4460.166666666667,高壓力港,高緩衝港,0,0.7666666666666667,-28870,-29589,0.22,0.11666666666666667,4814.5,30250,-25435.5,-28444.166666666668,正常港,0.3716666666666667,0.42708333333333326,0.27999999999999997,-0.45999999999999974,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202507,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,5151.75,臺中港,基隆港,2,0.85,0.8553333333333332,1,1,高壓力港,0.9266666666666664,0.225,6869,5605,0.36666666666666664,0.22499999999999998,13488,11770.75,1717.25,3887.75,高壓力港,高緩衝港,0,0.7666666666666667,-28870,-29589,0.22,0.11666666666666667,6531.75,30250,-23718.25,-27871.75,正常港,0.3466666666666667,0.42708333333333326,0.27999999999999997,-0.5599999999999998,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,TRUE,FALSE
202508,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺中港,臺北港,2,0.85,0.7963571428571429,1,1,高壓力港,0.7085714285714285,0.2571428571428571,5568,5629,0.7085714285714285,0.2571428571428571,13444,7876,5568,5629,高壓力港,高緩衝港,0.03142857142857142,0.8785714285714286,-3745,-3562.6666666666665,0.031428571428571424,0.8785714285714286,3206,6951,-3745,-3562.6666666666665,高緩衝港,0.3357142857142857,0.4660714285714285,0.18428571428571427,0,6.938893903907228e-18,FALSE,TRUE,TRUE,FALSE,0.5,0,FALSE,TRUE
202508,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1392,臺中港,臺北港,2,0.85,0.7963571428571429,1,1,高壓力港,0.7085714285714285,0.2571428571428571,5568,5629,0.5114285714285713,0.2571428571428571,13444,9268,4176,5165,高壓力港,高緩衝港,0.03142857142857142,0.8785714285714286,-3745,-3562.6666666666665,0.09428571428571428,0.75,4598,6951,-2353,-3098.6666666666665,高緩衝港,0.28642857142857137,0.4339285714285714,0.18428571428571427,-0.19714285714285718,0.06285714285714286,FALSE,TRUE,TRUE,FALSE,0.5,0,FALSE,FALSE
202508,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2784,臺中港,臺北港,2,0.85,0.7963571428571429,1,1,高壓力港,0.7085714285714285,0.2571428571428571,5568,5629,0.3999999999999999,0.2571428571428571,13444,10660,2784,4701,高壓力港,高緩衝港,0.03142857142857142,0.8785714285714286,-3745,-3562.6666666666665,0.1257142857142857,0.6285714285714286,5990,6951,-961,-2634.6666666666665,高緩衝港,0.25857142857142856,0.4035714285714285,0.18428571428571427,-0.3085714285714286,0.09428571428571428,FALSE,TRUE,TRUE,FALSE,0.5,0,TRUE,FALSE
202508,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,4176,臺中港,臺北港,2,0.85,0.7963571428571429,1,1,高壓力港,0.7085714285714285,0.2571428571428571,5568,5629,0.3142857142857143,0.2571428571428571,13444,12052,1392,4237,正常港,高緩衝港,0.03142857142857142,0.8785714285714286,-3745,-3562.6666666666665,0.5857142857142856,0.5642857142857143,7382,6951,431,-2170.6666666666665,正常港,0.3821428571428571,0.38749999999999996,0.26285714285714284,-0.39428571428571424,0.5542857142857143,TRUE,FALSE,TRUE,FALSE,0.5,0,FALSE,FALSE
202510,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,高雄港,臺北港,3,0.7,0.5677222222222222,1,1,高壓力港,0.54,0.18333333333333332,19817,13446.333333333334,0.54,0.18333333333333332,68373,48556,19817,13446.333333333334,高壓力港,高緩衝港,0.09777777777777776,0.5277777777777778,-427,-439.6666666666668,0.09777777777777777,0.5277777777777778,4013,4440,-427,-439.6666666666668,高緩衝港,0.5116666666666666,0.5027777777777778,0.3366666666666666,0,1.3877787807814457e-17,FALSE,TRUE,TRUE,FALSE,0,0,TRUE,TRUE
202510,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,4954.25,高雄港,臺北港,3,0.7,0.5677222222222222,1,1,高壓力港,0.54,0.18333333333333332,19817,13446.333333333334,0.52,0.18333333333333332,68373,53510.25,14862.75,11794.916666666668,正常港,高緩衝港,0.09777777777777776,0.5277777777777778,-427,-439.6666666666668,0.8644444444444443,0.19999999999999998,8967.25,4440,4527.25,1211.75,高壓力港,0.606111111111111,0.41111111111111115,0.5111111111111111,-0.020000000000000018,0.7666666666666666,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
202510,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,9908.5,高雄港,臺北港,3,0.7,0.5677222222222222,1,1,高壓力港,0.54,0.18333333333333332,19817,13446.333333333334,0.21333333333333332,0.18333333333333332,68373,58464.5,9908.5,10143.5,正常港,高緩衝港,0.09777777777777776,0.5277777777777778,-427,-439.6666666666668,1,0.09999999999999999,13921.5,4440,9481.5,2863.1666666666665,高壓力港,0.6266666666666666,0.41111111111111115,0.35777777777777775,-0.3266666666666667,0.9022222222222223,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
202510,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,14862.75,高雄港,臺北港,3,0.7,0.5677222222222222,1,1,高壓力港,0.54,0.18333333333333332,19817,13446.333333333334,0.14666666666666667,0.18333333333333332,68373,63418.75,4954.25,8492.083333333334,正常港,高緩衝港,0.09777777777777776,0.5277777777777778,-427,-439.6666666666668,1,0.09999999999999999,18875.75,4440,14435.75,4514.583333333333,高壓力港,0.6266666666666666,0.41111111111111115,0.3366666666666666,-0.39333333333333337,0.9022222222222223,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
202511,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺北港,基隆港,1,1,0.7378,1,1,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,0.8140000000000001,0.18,7765,3736,4029,2151.6666666666665,高壓力港,高緩衝港,0,0.49,-25006,-27342.333333333332,0,0.49,1350,26356,-25006,-27342.333333333332,高緩衝港,0.577,0.4825,0.249,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,TRUE
202511,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,1007.25,臺北港,基隆港,1,1,0.7378,1,1,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,0.736,0.18,7765,4743.25,3021.75,1815.9166666666665,高壓力港,高緩衝港,0,0.49,-25006,-27342.333333333332,0.132,0.22000000000000003,2357.25,26356,-23998.75,-27006.583333333332,正常港,0.5575,0.3675,0.315,-0.07800000000000007,0.132,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202511,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,2014.5,臺北港,基隆港,1,1,0.7378,1,1,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,0.736,0.18,7765,5750.5,2014.5,1480.1666666666665,高壓力港,高緩衝港,0,0.49,-25006,-27342.333333333332,0.22,0.04000000000000001,3364.5,26356,-22991.5,-26670.833333333332,正常港,0.5575,0.3675,0.359,-0.07800000000000007,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202511,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,3021.75,臺北港,基隆港,1,1,0.7378,1,1,高壓力港,0.8140000000000001,0.18,4029,2151.6666666666665,0.736,0.18,7765,6757.75,1007.25,1144.4166666666665,高壓力港,高緩衝港,0,0.49,-25006,-27342.333333333332,0.22,0.04000000000000001,4371.75,26356,-21984.25,-26335.083333333332,正常港,0.5575,0.3675,0.359,-0.07800000000000007,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,TRUE,FALSE
202512,基隆港、臺北港、臺中港、高雄港,custom,no_move,0,0,臺北港,基隆港,1,1,0.6633636363636364,1,1,高壓力港,0.669090909090909,0.19090909090909092,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,8930,5130,3800,2467.3333333333335,高壓力港,高緩衝港,0,0.4636363636363636,-25087,-24800.666666666668,0,0.4636363636363636,1272,26359,-25087,-24800.666666666668,高緩衝港,0.3881818181818182,0.4329545454545454,0.18454545454545454,0,0,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,TRUE
202512,基隆港、臺北港、臺中港、高雄港,custom,move_25pct,0.25,950,臺北港,基隆港,1,1,0.6633636363636364,1,1,高壓力港,0.669090909090909,0.19090909090909092,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,8930,6080,2850,2150.666666666667,高壓力港,高緩衝港,0,0.4636363636363636,-25087,-24800.666666666668,0.08,0.3,2222,26359,-24137,-24484,正常港,0.3881818181818182,0.33068181818181813,0.18727272727272729,0,0.08,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202512,基隆港、臺北港、臺中港、高雄港,custom,move_50pct,0.5,1900,臺北港,基隆港,1,1,0.6633636363636364,1,1,高壓力港,0.669090909090909,0.19090909090909092,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,8930,7030,1900,1834,高壓力港,高緩衝港,0,0.4636363636363636,-25087,-24800.666666666668,0.22,0.013636363636363636,3172,26359,-23187,-24167.333333333336,正常港,0.3881818181818182,0.28977272727272724,0.25727272727272726,0,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,FALSE,FALSE
202512,基隆港、臺北港、臺中港、高雄港,custom,move_75pct,0.75,2850,臺北港,基隆港,1,1,0.6633636363636364,1,1,高壓力港,0.669090909090909,0.19090909090909092,3800,2467.3333333333335,0.669090909090909,0.19090909090909092,8930,7980,950,1517.3333333333335,高壓力港,高緩衝港,0,0.4636363636363636,-25087,-24800.666666666668,0.22,0.013636363636363636,4122,26359,-22237,-23850.666666666668,正常港,0.3881818181818182,0.28977272727272724,0.25727272727272726,0,0.22,FALSE,TRUE,TRUE,FALSE,0.75,0,TRUE,FALSE
